"","asxEarly_1","asxLate_1","sxEarly_1","asxEarly_2","asxLate_2","sxEarly_2","asxEarly_3","asxLate_3","sxEarly_3","asxEarly_4","asxLate_4","sxEarly_4","asxEarly_5","asxLate_5","sxEarly_5","asxEarly_7","asxLate_7","sxEarly_7","asxEarly_10","asxLate_10","sxEarly_10","asxEarly_15","asxLate_15","sxEarly_15","asxEarly_20","asxLate_20","sxEarly_20","asxEarly_25","asxLate_25","sxEarly_25","asxEarly_30","asxLate_30","sxEarly_30","asxEarly_1000","asxLate_1000","sxEarly_1000"
"1",0,0,0,17,0,36,36,0,50,60,0,68,73,8,93,96,40,87,98,81,106,123,178,91,120,257,108,108,258,111,115,287,111,130,385,112
"2",0,0,0,19,0,27,36,0,64,66,0,58,63,7,95,86,39,78,97,64,79,100,107,101,104,120,99,106,125,107,104,133,110,108,144,120
"3",0,0,0,11,0,38,42,0,27,39,4,45,46,23,45,57,58,45,66,128,48,62,152,57,81,232,48,81,264,46,81,254,53,64,256,60
"4",0,0,0,23,0,29,37,0,65,48,0,108,69,4,91,96,51,117,97,96,145,132,149,119,85,86,187,99,143,185,93,143,175,108,180,183
"5",0,0,0,12,0,14,13,0,26,45,11,26,23,9,37,34,31,34,40,48,32,50,63,32,46,79,38,52,86,34,46,79,39,52,104,40
"6",0,0,0,19,0,31,42,0,55,56,0,70,79,10,85,97,41,81,71,46,115,90,81,105,94,79,114,101,78,105,93,81,103,120,120,88
"7",0,0,0,22,0,15,33,0,55,47,10,72,53,15,70,47,57,99,63,111,90,74,162,86,69,150,97,77,217,101,60,157,126,76,228,112
"8",0,0,0,18,0,32,28,0,60,49,12,59,49,22,85,68,61,91,59,94,119,66,200,107,73,258,113,77,271,111,67,256,123,70,350,123
"9",0,0,0,23,0,33,36,0,56,50,0,91,52,6,101,76,30,128,90,79,146,108,136,167,100,120,173,126,169,151,131,196,147,129,215,171
"10",0,0,0,20,0,27,37,0,57,65,0,72,60,6,113,92,40,128,88,88,160,106,132,148,111,186,152,101,147,174,103,168,172,96,188,198
"11",0,0,0,16,0,33,28,0,65,49,0,82,68,6,103,110,61,96,90,81,143,107,135,151,108,202,156,98,207,175,105,193,171,123,287,171
"12",0,0,0,22,0,34,38,0,47,64,0,68,55,7,89,82,37,81,93,98,107,115,205,99,107,182,109,106,218,109,127,269,103,123,364,116
"13",0,0,0,12,0,24,29,0,33,39,7,42,48,20,42,51,48,45,42,57,56,61,115,46,78,151,52,66,124,45,72,156,48,52,130,63
"14",0,0,0,18,0,27,38,0,50,59,0,81,70,4,98,71,18,94,105,105,98,112,166,102,84,129,114,96,163,114,134,244,99,129,301,110
"15",0,0,0,14,0,15,43,0,27,54,14,46,67,31,32,57,53,44,56,92,46,55,122,52,75,155,48,76,210,49,93,234,45,62,186,56
"16",0,0,0,19,0,24,28,0,62,39,0,77,73,8,81,84,31,85,66,55,109,111,95,102,123,134,93,89,108,120,115,138,94,88,116,128
"17",0,0,0,19,0,29,35,0,65,66,0,102,59,6,119,115,47,98,90,90,147,99,138,156,101,184,159,112,193,157,127,255,165,110,252,189
"18",0,0,0,21,0,24,31,0,59,83,0,60,50,5,94,85,35,80,81,62,107,95,167,101,89,164,117,146,362,92,138,320,97,93,279,134
"19",0,0,0,15,0,24,47,0,28,47,4,37,54,31,49,82,73,38,75,128,48,76,221,51,83,238,52,60,188,51,71,238,57,86,383,55
"20",0,0,0,14,0,24,34,0,74,58,0,69,72,12,98,103,33,106,113,103,148,123,167,122,109,154,141,126,188,148,88,158,169,120,240,174
"21",0,0,0,11,0,29,27,0,40,51,11,38,55,21,40,67,61,39,67,117,49,50,118,56,87,230,45,72,199,50,76,237,58,68,238,58
"22",0,0,0,15,0,33,43,0,55,46,11,75,42,12,72,62,68,87,66,91,94,64,122,97,62,140,119,77,190,112,60,155,112,90,264,102
"23",0,0,0,17,0,37,34,0,63,50,11,68,40,18,78,69,61,100,56,91,106,71,142,103,86,287,94,59,222,125,66,246,122,80,360,114
"24",0,0,0,12,0,24,31,0,37,42,8,33,47,19,43,54,46,50,71,120,49,63,118,51,78,157,46,56,117,58,63,139,59,68,170,59
"25",0,0,0,19,0,28,24,0,36,41,9,44,63,21,39,56,52,45,66,88,47,71,190,50,63,186,51,73,244,47,60,225,59,92,409,49
"26",0,0,0,23,0,32,27,0,61,66,0,86,72,11,87,84,30,115,113,105,141,109,150,155,110,164,151,127,191,142,122,182,156,132,264,168
"27",0,0,0,20,0,25,33,0,72,59,0,69,84,6,69,90,33,95,78,38,104,119,174,91,114,223,101,154,297,85,95,201,116,118,294,116
"28",0,0,0,19,0,39,38,0,57,71,0,73,97,6,110,64,27,126,92,73,143,116,128,136,90,130,184,104,161,154,97,155,178,117,234,175
"29",0,0,0,26,0,26,35,0,60,56,0,75,79,9,102,91,36,130,79,68,149,85,137,170,116,225,145,101,216,175,102,233,173,114,304,186
"30",0,0,0,19,0,21,46,0,62,70,0,61,56,8,90,84,42,90,78,64,101,119,99,89,97,108,113,110,119,107,111,135,113,129,168,110
"31",0,0,0,16,0,15,27,0,41,31,9,55,57,29,64,40,33,77,53,76,79,58,96,89,52,94,93,74,131,80,77,132,77,62,124,86
"32",0,0,0,22,0,25,23,0,61,48,10,58,52,25,58,45,41,110,73,131,89,71,193,104,63,195,111,79,254,95,67,207,119,84,336,112
"33",0,0,0,14,0,31,38,0,41,58,12,34,43,19,47,57,46,54,79,125,37,64,143,48,74,168,52,64,156,53,72,182,55,63,181,54
"34",0,0,0,20,0,26,45,0,49,47,0,69,64,3,86,124,56,70,85,68,103,93,77,101,103,114,100,99,113,118,115,132,97,114,152,116
"35",0,0,0,16,0,30,33,0,64,50,13,71,48,18,87,53,42,85,72,147,80,62,140,105,81,226,91,65,185,112,86,248,85,66,231,126
"36",0,0,0,17,0,25,38,0,72,54,10,59,55,27,75,53,66,108,71,104,95,62,183,110,63,183,114,80,257,97,84,283,100,76,304,118
"37",0,0,0,25,0,28,38,0,63,68,0,85,67,6,93,59,20,143,78,63,142,94,93,166,105,117,172,125,139,135,90,119,196,118,156,165
"38",0,0,0,10,0,27,41,0,52,60,11,56,50,15,82,78,74,88,66,124,105,74,215,101,79,268,107,64,210,124,63,225,123,86,387,108
"39",0,0,0,15,0,29,32,0,64,66,0,55,67,5,85,74,33,76,104,68,94,114,83,92,77,58,119,90,76,110,109,89,109,129,129,110
"40",0,0,0,15,0,25,20,0,72,58,0,83,56,7,107,73,22,125,107,116,137,109,204,156,117,212,151,124,243,141,141,286,127,121,312,171
"41",0,0,0,18,0,31,36,0,54,55,0,78,74,8,74,92,38,88,106,81,91,90,108,108,122,211,90,103,194,119,133,252,100,132,308,110
"42",0,0,0,6,0,12,14,7,16,12,14,21,12,17,21,21,53,20,18,44,23,16,51,26,21,83,26,11,43,24,15,44,35,22,88,39
"43",0,0,0,18,0,26,37,0,67,43,0,67,50,6,94,63,24,99,91,44,76,76,43,104,109,57,78,112,61,97,96,61,106,102,68,116
