#risk:0.645,delay:0,sensitivity:median,sens_multiplier:0.8
"","Infectiousness_1","nInfected_1","Infectiousness_2","nInfected_2","Infectiousness_3","nInfected_3","Infectiousness_4","nInfected_4","Infectiousness_5","nInfected_5","Infectiousness_7","nInfected_7","Infectiousness_10","nInfected_10","Infectiousness_15","nInfected_15","Infectiousness_20","nInfected_20","Infectiousness_25","nInfected_25","Infectiousness_30","nInfected_30","Infectiousness_NA","nInfected_NA"
"1",51.1047128682098,83,32.1752054292638,44,58.5408493615898,91,60.4087466081454,91,63.496157996915,85,72.989487149721,100,70.2099296495416,99,74.7508345501612,99,74.5403033887211,99,75.9051190670272,99,73.646112847548,100,77.9997907648956,100
"2",36.2963151017612,50,45.5555642444626,70,54.5947205203229,77,57.2807030071233,79,65.6216875121841,88,71.0578021181978,95,57.9999942566561,86,74.847173666579,100,82.9870089512303,100,78.4763605341863,98,70.0300888186385,99,80.4997186689983,100
"3",47.5092121521235,67,37.3699094687806,60,39.5506770668828,51,58.421420338448,72,44.6134746563719,61,68.2206522023508,98,71.5356413663087,100,73.3600279486275,99,76.9330972017393,100,82.6952135077603,100,77.321968930103,99,82.4997002210637,100
"4",49.2123974399623,87,50.6966604535143,79,58.9386090756336,91,54.849974947712,84,59.7459305148215,88,62.6040715496121,89,74.5198221265785,95,71.8164397258198,100,73.5951295790918,99,76.9851958615187,100,78.6654649199753,100,80.4997842113008,100
"5",7.65463696747323,20,52.7493766216288,79,59.4161141654946,97,59.361269229892,89,62.2750072415494,88,67.4580220303607,92,70.5152348842407,99,71.8226217360184,99,71.3644001118087,100,74.025087837745,99,77.9993867584127,100,80.4997851024565,100
"6",43.8492201518502,58,20.6595652628242,36,47.56937395585,83,54.7338594249094,81,56.3833164829913,82,73.7351225881571,95,72.2821615829884,97,79.7088810804279,100,74.0515480199932,100,79.5729956257643,100,76.6510965034361,100,77.9997988539005,100
"7",51.0786846084867,82,47.8761353192394,78,55.5671118304016,81,63.5528874829738,95,54.6875290372786,75,65.3174124468012,98,72.0223221593436,99,74.1912172973141,99,73.1217683575141,99,73.4101672367391,99,74.3815185235174,100,79.9997887699481,100
"8",59.2634922697646,90,41.9643348927956,76,58.0715639842877,82,63.2128686211263,93,58.8969042339452,94,71.6831134514641,97,77.0610603358952,99,70.8641263419741,99,78.2486868052538,100,77.7034292492743,100,72.007992727709,99,81.499773710638,100
"9",38.4844300512734,59,50.4669463637622,76,48.6526355841331,72,35.9087056872502,42,72.7093344151833,96,69.0440826176547,99,74.1150290211042,98,71.1416450982923,97,79.7481207755156,100,74.840592956619,100,79.3970149870094,100,82.9997331507618,100
"10",15.5868735941261,22,31.0743684235762,45,49.1416601915944,70,32.1683310190673,48,49.7075147727272,64,71.8864017759435,94,70.9679344976633,99,75.0755903502282,97,71.8964853015933,96,78.7956488343407,100,79.5254973431324,99,76.9996979568367,100
"11",27.6545951806485,41,41.9503626563087,64,43.0722626470703,60,33.4483686380452,49,53.284988022869,73,75.5448102425533,93,63.4189809606299,85,79.6718531812694,99,76.8932762216434,100,80.2066057700925,100,78.6281662828661,100,77.9997417289164,100
"12",47.3363148770258,81,51.2344333788756,83,34.1796125433873,54,58.2942155675369,85,60.9560930451131,94,70.5137012741767,98,73.308770450494,99,73.9804881563341,99,74.1229310715834,99,70.5782072618732,97,79.9539149006861,100,81.4997746879446,99
