V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
118,127,108,115,109,110,114,117,132,106,124,123,128,127,130,105,113,119,135,127
151,178,164,150,157,145,197,168,197,148,181,176,181,183,218,148,164,197,192,194
210,248,184,204,215,174,212,213,216,187,212,239,228,214,223,169,231,237,232,228
229,251,251,222,269,189,234,296,281,207,243,243,279,304,273,210,237,287,253,252
279,288,228,260,268,250,247,322,293,247,239,311,301,338,332,234,280,308,304,278
350,324,292,369,338,280,290,328,310,268,346,357,350,376,395,254,355,365,362,336
424,332,252,409,402,395,307,411,433,337,371,417,412,431,415,265,378,367,409,343
450,402,334,390,442,383,334,455,452,277,353,415,488,455,438,307,436,413,433,446
418,407,339,503,516,366,289,484,448,326,428,420,461,524,485,358,412,437,446,404
477,412,390,520,523,428,304,535,420,361,424,411,516,554,453,329,466,429,503,385
455,409,452,501,495,459,334,472,466,369,408,465,596,477,530,339,468,468,495,440
472,466,451,560,506,490,369,597,495,359,480,560,706,594,486,338,508,553,528,472
