V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
61,120,125,56,101,121,112,122,108,102,113,115,114,111,129,123,124,110,131,126
117,174,166,96,157,172,142,201,155,134,133,140,181,136,174,182,192,136,196,175
148,213,232,163,197,234,169,242,177,181,201,164,254,173,233,206,246,183,203,260
168,267,268,189,210,217,196,270,193,170,254,171,265,157,261,294,279,188,237,287
219,288,293,187,219,270,224,306,248,191,223,219,284,241,282,279,308,197,263,275
248,362,341,211,282,285,302,352,240,222,320,196,368,272,349,332,390,235,289,364
212,405,367,252,321,370,285,419,347,218,330,297,414,316,443,346,424,273,339,444
298,434,418,216,337,436,307,451,323,242,360,258,472,375,413,412,493,364,351,476
278,469,452,200,333,418,320,443,386,225,321,254,454,296,459,402,562,292,401,460
325,529,489,233,331,411,444,451,325,252,343,279,458,380,387,426,560,324,407,513
219,515,464,235,343,442,370,501,330,229,375,282,487,357,558,427,614,316,421,524
299,510,568,272,336,485,401,624,402,234,400,294,497,419,551,480,685,346,452,545
