V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
135,84,128,128,108,108,127,139,124,107,108,112,138,114,125,122,112,112,126,114
183,124,192,176,161,175,184,211,174,149,141,149,177,138,191,198,166,144,170,185
242,183,219,226,149,161,220,224,224,183,155,215,247,175,230,218,201,181,211,232
282,242,263,218,185,232,285,284,238,211,201,239,275,206,302,286,246,162,284,256
370,211,268,279,256,264,263,293,270,217,203,286,321,234,343,297,314,191,282,288
439,311,366,301,329,252,360,326,327,247,271,289,304,205,385,365,321,225,301,340
460,301,413,339,268,356,440,408,308,312,334,426,345,359,381,332,404,212,366,426
504,381,450,357,380,409,446,458,432,382,343,379,426,375,434,401,532,238,376,395
473,367,443,429,375,458,499,477,409,313,369,538,374,330,473,456,538,224,364,453
610,401,514,406,394,436,434,516,508,319,465,516,448,349,489,468,623,240,418,449
502,390,490,454,390,416,520,508,455,324,381,538,459,404,504,495,428,220,457,504
699,370,502,398,438,508,587,534,544,422,414,550,471,468,528,536,590,256,446,469
