V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
113,122,128,118,112,120,121,136,119,108,123,111,115,113,118,116,134,116,124,125
143,182,191,160,122,191,198,187,187,144,174,148,142,168,189,178,187,173,183,205
201,213,237,194,198,269,202,230,251,146,227,166,192,205,245,211,222,224,234,240
201,258,264,258,193,260,262,297,247,178,250,185,181,240,258,309,281,315,269,282
252,280,307,266,239,296,259,342,276,184,260,169,220,267,319,243,344,306,293,351
285,334,331,307,255,360,336,387,330,260,285,229,227,327,329,371,341,364,352,359
306,398,380,323,284,408,373,418,373,315,392,230,322,337,395,413,388,462,333,416
325,466,394,404,379,508,370,494,386,351,376,295,298,370,450,448,461,483,377,413
315,437,385,389,329,531,365,475,398,372,411,268,278,475,440,481,471,541,412,461
349,536,427,375,393,644,409,508,381,409,402,285,288,480,441,506,519,568,405,455
346,427,412,406,329,580,437,510,397,366,473,261,340,375,437,527,512,526,407,463
370,524,408,446,363,642,428,644,430,452,480,286,292,443,520,580,516,580,420,521
