V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
127,122,122,123,125,119,127,121,132,123,128,138,117,122,120,116,116,116,109,105
195,182,176,179,155,149,192,180,194,157,202,179,165,199,161,157,195,151,170,137
233,224,178,205,206,216,264,239,216,180,255,218,175,249,223,214,255,242,210,168
296,270,211,256,228,228,277,336,253,200,273,279,219,304,220,265,274,242,240,234
321,279,260,262,288,292,330,303,293,274,304,307,236,351,272,273,291,271,262,206
373,308,301,288,278,335,340,334,396,310,354,334,192,364,265,327,384,347,314,274
408,285,311,322,396,385,402,429,446,273,443,343,331,505,399,406,388,348,413,295
420,336,317,336,422,386,451,586,514,348,441,377,353,564,443,332,480,397,396,283
428,385,353,338,406,460,492,580,540,357,589,371,384,638,424,531,541,426,398,299
467,369,347,337,440,399,538,507,585,375,559,370,291,585,405,546,568,418,408,334
452,415,340,337,473,456,586,625,550,352,548,403,368,623,451,632,529,456,387,283
490,452,358,388,519,452,636,570,618,375,588,411,462,690,459,569,564,494,452,304
