V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
128,117,116,132,122,120,101,127,119,117,96,50,125,112,131,126,105,112,121,112
171,194,185,175,179,180,157,194,149,182,151,122,186,125,173,178,164,134,190,177
214,259,222,240,219,214,215,211,162,200,161,197,219,148,210,250,199,173,252,206
254,288,229,301,252,254,256,266,203,253,172,206,261,163,229,251,283,193,269,223
291,313,273,288,280,274,272,273,242,292,195,195,295,174,292,285,307,224,315,258
359,356,336,372,296,346,298,375,249,319,178,232,343,168,311,341,323,247,342,260
384,424,343,405,332,311,380,387,287,366,192,331,369,179,354,384,389,263,364,297
420,410,411,426,379,348,409,469,305,501,205,274,464,206,350,424,458,243,413,317
548,491,457,462,344,372,442,533,384,468,204,350,461,200,392,466,511,329,396,311
511,517,454,492,382,377,415,475,429,477,213,443,446,199,378,437,459,294,426,312
503,540,456,470,386,375,456,513,389,535,207,341,469,173,411,451,468,252,419,295
680,528,452,582,425,360,501,515,412,524,228,451,560,232,433,544,506,370,468,368
