V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
63,113,112,127,110,108,141,107,122,131,127,64,109,106,120,118,65,131,118,118
130,146,172,198,142,165,173,157,187,195,200,118,154,159,194,187,119,190,184,158
145,173,187,240,160,157,207,216,222,213,237,131,184,214,235,223,149,240,219,197
191,178,193,297,231,216,296,241,260,280,265,179,229,265,286,247,176,287,246,218
234,206,264,313,242,219,267,258,277,296,278,166,287,241,289,258,196,283,277,276
254,305,324,352,236,270,344,326,327,375,357,235,337,332,391,338,218,330,293,379
300,288,328,413,359,355,417,378,373,353,470,240,276,380,426,446,215,433,337,426
419,333,452,520,382,406,440,396,523,480,487,304,352,429,576,375,321,472,363,478
380,334,462,500,348,338,429,510,422,498,543,267,345,377,578,486,346,469,377,516
398,339,406,542,420,505,438,376,444,501,577,327,338,542,615,467,374,502,361,477
452,384,362,559,396,508,460,424,522,550,580,249,353,472,594,439,290,518,354,502
388,344,580,538,452,520,480,522,560,522,624,304,445,558,642,459,321,498,395,610
