V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
120,119,104,128,120,125,126,126,111,125,104,120,109,126,113,111,116,104,123,104
159,203,133,177,169,186,177,182,170,184,161,163,133,184,165,160,186,114,157,129
202,194,187,248,220,247,210,231,189,251,187,213,172,228,203,242,239,158,190,157
244,222,236,270,242,290,284,292,237,278,246,227,199,268,246,229,253,170,254,162
257,309,194,281,316,295,301,312,238,295,259,259,211,305,296,287,261,201,265,158
261,294,252,326,371,364,341,363,240,341,302,306,265,390,304,315,322,257,290,198
289,335,304,381,360,364,449,428,311,354,326,310,272,443,351,380,320,240,380,175
309,419,409,408,419,392,472,478,349,365,308,334,350,468,453,399,334,285,502,188
305,383,298,391,374,462,480,475,321,403,363,327,302,503,416,467,342,336,499,198
299,407,389,456,364,430,525,502,366,371,364,359,344,548,414,495,359,246,513,200
297,429,463,518,381,469,480,493,353,400,374,359,269,572,495,438,385,241,451,206
341,416,424,452,446,500,533,594,420,423,455,400,352,588,519,495,385,340,576,214
