V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
111,110,106,112,126,115,126,112,123,116,115,111,119,126,123,122,108,106,129,131
168,140,148,136,190,155,176,174,209,131,169,159,137,180,206,181,174,166,173,197
228,195,196,206,220,192,287,215,219,154,200,212,155,216,258,225,218,211,233,230
256,223,216,222,279,256,294,226,252,186,203,231,211,261,294,290,238,219,292,257
281,226,272,210,303,255,309,264,259,215,249,350,221,299,324,330,359,269,339,304
332,303,306,230,366,333,400,352,350,281,260,366,292,345,373,367,332,261,422,321
343,289,335,262,424,355,429,393,404,276,310,433,306,448,405,367,399,381,447,436
389,425,388,300,542,372,513,472,418,330,364,448,392,436,486,429,523,400,520,481
433,406,435,383,517,385,509,440,395,359,373,460,381,490,554,459,590,412,494,557
429,415,416,381,539,428,570,468,496,326,421,555,475,509,575,450,502,411,612,463
405,421,405,378,619,429,587,505,449,290,377,494,420,472,531,493,560,516,561,507
430,531,428,444,588,470,684,580,418,331,429,542,424,550,602,515,610,560,587,585
