V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
128,128,116,129,114,117,130,107,130,130,82,118,122,118,109,103,111,128,110,120
200,173,152,196,169,165,188,143,185,146,122,131,183,187,157,141,176,173,131,193
213,210,201,230,224,186,202,196,228,227,192,155,211,228,153,153,205,229,198,212
225,233,252,283,263,226,248,189,301,243,198,175,256,230,208,162,224,261,211,249
248,245,280,313,269,283,250,277,299,277,173,254,260,257,220,180,264,259,211,259
269,312,332,344,304,302,311,321,411,279,265,232,318,306,377,200,256,274,297,278
321,363,401,405,326,334,384,269,477,342,367,260,339,311,351,208,306,364,338,313
318,399,399,454,362,375,429,388,432,350,304,297,353,412,392,193,322,365,403,366
367,409,422,453,401,398,442,396,488,419,401,330,370,484,415,193,323,359,308,334
345,394,469,466,390,387,420,389,496,412,394,303,327,399,425,208,359,441,378,389
315,479,475,477,415,464,425,382,539,461,368,309,392,558,446,213,318,426,402,382
322,487,512,494,394,456,459,487,580,392,330,292,395,497,487,231,380,385,380,424
