V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
110,115,112,115,113,109,125,102,113,120,121,72,127,127,106,102,127,107,125,134
144,174,178,159,134,137,195,180,198,179,180,126,180,180,139,137,183,157,197,206
210,198,220,196,162,171,228,195,221,231,210,157,202,212,181,173,247,157,218,218
224,237,250,229,203,213,249,241,245,241,246,185,260,243,187,249,275,193,264,285
202,231,289,235,223,195,303,293,306,278,272,216,261,256,219,262,312,235,237,338
260,290,337,308,288,269,411,352,328,363,325,217,289,293,251,284,369,254,307,360
279,307,351,425,314,281,370,368,415,331,335,266,371,345,269,326,421,290,364,440
351,397,446,441,330,256,459,335,410,458,386,272,364,327,270,318,437,301,426,462
330,372,475,421,386,292,473,365,473,430,393,320,333,369,296,373,484,385,383,520
422,409,479,404,380,329,479,386,454,468,363,316,364,391,269,396,603,422,375,466
389,411,435,485,338,306,514,398,475,433,392,292,391,395,343,334,526,390,447,558
444,452,532,520,414,345,488,512,540,536,467,340,395,375,334,420,580,452,452,580
