V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
119,113,123,109,104,130,131,124,129,140,118,108,110,116,108,112,117,106,111,121
169,136,183,142,142,210,181,200,191,184,153,186,153,182,145,169,195,162,172,183
226,168,209,146,153,218,233,235,212,249,214,201,202,234,178,211,223,181,211,221
267,238,263,182,191,277,281,308,262,275,249,233,248,270,201,235,256,232,218,269
323,225,248,209,207,299,317,279,268,320,264,263,249,251,211,250,295,290,265,284
387,256,317,241,189,392,325,343,299,369,272,266,318,330,253,287,290,337,293,323
394,252,295,228,212,417,443,419,326,363,356,319,378,343,296,319,365,406,345,351
448,283,342,248,222,476,514,551,413,452,392,380,402,511,246,384,367,366,333,417
453,292,383,292,271,516,475,517,410,422,464,438,460,468,328,304,404,465,361,380
513,389,374,227,222,524,545,573,472,443,459,385,466,543,308,340,417,425,424,459
510,304,390,263,271,526,524,625,426,458,426,371,508,477,360,366,397,533,432,439
538,298,400,315,260,594,700,603,466,498,445,482,608,587,308,380,434,520,416,494
