V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
110,105,111,119,113,118,122,114,118,108,109,137,102,109,119,107,110,118,121,111
159,141,141,168,154,160,204,173,147,161,129,187,149,156,168,154,157,131,168,140
202,142,157,211,199,225,231,219,225,215,208,203,218,157,221,159,213,199,197,162
260,167,172,292,222,270,271,223,254,215,231,258,258,194,265,221,235,170,242,199
281,197,200,292,259,254,342,310,279,312,246,250,277,199,272,244,223,232,274,203
307,232,244,300,275,334,340,360,292,300,269,290,345,228,311,275,324,258,277,261
385,218,266,417,280,353,424,375,354,388,240,355,354,262,320,289,337,260,334,216
473,220,304,492,344,360,560,452,397,370,291,382,433,256,333,298,381,302,440,320
498,262,289,470,329,424,626,436,422,398,307,426,452,331,378,292,484,400,446,273
453,232,338,397,300,389,570,440,388,469,306,412,400,277,382,319,427,416,433,341
515,239,350,494,316,474,531,471,474,467,291,402,428,321,385,324,428,353,452,274
515,251,408,512,370,472,714,605,432,568,339,422,467,261,379,376,515,430,520,298
