V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
128,112,129,116,121,127,116,111,120,120,101,101,63,131,128,121,105,127,123,115
184,138,189,181,190,192,156,171,166,155,151,156,111,173,215,175,124,200,182,167
203,180,208,192,249,206,214,230,214,193,175,169,188,243,234,232,163,261,223,214
226,207,256,206,241,266,233,245,266,227,212,189,204,250,282,297,203,291,238,250
249,208,294,253,285,285,250,305,267,287,251,215,251,294,314,296,224,284,300,232
303,224,308,278,420,320,287,349,363,300,295,215,284,285,306,320,184,358,378,298
338,326,356,313,333,354,427,362,346,330,328,280,357,308,368,360,216,387,401,361
346,330,444,315,560,421,452,343,387,409,302,297,342,336,356,373,209,451,434,444
392,362,477,349,479,545,448,372,473,517,350,316,387,308,387,474,253,519,558,452
338,411,489,336,451,473,487,437,413,479,367,284,419,360,393,422,230,522,493,438
359,366,509,341,495,435,573,406,452,441,343,276,311,348,398,490,238,480,562,447
440,331,505,411,660,587,635,410,487,530,393,358,444,346,438,488,285,575,580,431
