V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
121,125,116,120,130,118,121,120,103,120,113,108,114,124,127,111,133,105,112,59
174,170,210,199,199,181,169,174,150,196,178,156,183,196,184,164,179,157,164,93
194,226,255,229,225,246,224,230,181,229,203,205,243,227,247,219,251,167,195,130
238,262,282,271,281,312,280,236,193,284,252,268,292,316,256,238,288,206,232,195
268,295,293,305,312,350,305,276,195,307,302,273,279,302,262,279,296,182,294,237
327,319,380,381,343,404,338,332,262,364,316,346,342,411,331,317,333,231,362,250
365,363,356,458,360,455,401,444,374,492,363,320,390,462,383,359,362,304,414,317
370,424,405,442,404,514,462,469,374,475,376,471,398,511,443,436,397,296,414,266
429,478,421,464,470,639,486,480,300,554,469,397,381,529,414,495,399,281,484,233
477,485,420,524,474,577,449,456,425,549,401,462,387,527,457,521,493,338,474,340
447,434,424,546,432,577,486,543,414,603,401,428,470,600,429,494,396,312,518,305
518,553,488,594,518,743,564,596,444,686,439,520,500,606,440,544,452,364,569,394
