V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
122,115,121,120,127,108,102,100,128,103,110,130,109,128,107,109,129,111,116,103
186,172,193,185,184,135,138,150,177,126,174,187,166,204,139,151,189,157,172,152
226,187,225,215,238,192,196,199,209,164,213,226,193,234,200,233,220,218,194,167
243,233,256,269,278,229,182,263,228,194,271,254,266,275,234,212,250,231,248,228
245,236,284,267,303,215,197,270,267,188,251,273,298,326,283,237,339,264,264,225
288,319,303,327,350,245,250,301,327,205,306,316,346,384,314,274,367,281,301,266
305,299,355,378,369,320,325,388,397,211,344,411,348,443,402,297,398,326,389,322
294,401,441,433,469,420,327,403,383,245,451,485,508,489,411,325,522,359,340,319
304,376,396,417,489,337,395,389,347,267,514,409,469,530,527,334,527,361,381,397
359,386,441,429,552,405,429,399,391,246,435,479,449,604,416,325,590,360,384,368
352,392,441,454,550,402,390,452,384,233,425,521,560,551,582,337,600,376,458,372
348,385,568,508,583,431,452,487,476,240,590,578,570,642,568,368,642,360,410,452
