V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
67,119,109,123,135,124,125,126,111,144,57,124,125,132,104,120,115,117,131,107
122,140,159,186,164,197,169,195,148,176,114,181,166,201,146,166,195,190,190,162
148,201,197,232,203,248,196,216,240,242,161,213,212,211,190,239,247,259,253,184
197,201,208,278,271,271,241,235,238,300,197,282,257,282,215,274,276,245,267,210
211,208,189,293,275,244,226,302,287,315,204,278,256,368,268,291,331,321,325,315
204,230,300,331,292,309,314,310,293,360,242,290,314,367,291,344,397,353,354,337
302,310,296,395,368,348,291,352,372,408,294,429,403,365,318,351,396,425,461,368
315,360,388,416,390,308,326,463,357,518,270,500,433,503,394,410,468,500,510,400
299,317,357,467,361,353,353,404,399,457,304,452,361,517,371,444,516,465,516,459
315,368,482,452,401,389,318,417,408,503,315,515,420,453,402,391,531,520,636,395
310,362,379,494,396,378,351,470,373,558,317,500,423,538,359,450,513,597,610,476
346,412,496,495,392,370,370,459,428,636,358,572,458,566,470,472,552,577,702,480
