V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
144,114,102,122,121,126,131,109,107,108,125,131,113,95,111,117,132,123,117,142
182,150,164,196,187,214,183,138,139,169,206,167,142,126,155,181,192,191,187,192
240,238,206,268,226,215,210,216,156,177,233,225,177,171,138,212,242,227,213,221
287,245,241,262,227,296,234,253,206,246,276,270,210,161,208,288,268,335,260,236
301,304,274,287,254,301,287,319,220,246,329,266,248,163,224,282,336,357,250,295
373,323,319,360,319,345,363,278,203,337,364,330,249,167,245,327,374,364,351,343
402,318,394,369,310,431,351,403,263,391,498,448,275,168,273,300,459,426,375,417
492,377,406,417,417,501,372,407,324,399,513,494,351,215,306,398,514,483,379,439
523,391,359,411,341,520,395,441,320,435,536,473,411,209,349,411,568,576,409,512
561,424,427,429,363,512,365,538,358,460,556,563,425,195,380,411,600,577,518,544
640,465,405,461,382,510,438,539,329,529,588,500,464,223,379,406,576,602,477,519
723,442,473,512,414,552,434,559,352,505,640,610,505,212,452,494,624,564,520,630
