V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
128,109,124,65,110,123,126,115,111,122,105,126,126,107,116,126,122,117,115,119
166,136,175,97,158,171,195,182,149,171,154,173,160,133,146,199,193,145,163,165
199,152,249,103,210,210,239,225,190,176,189,243,229,193,167,230,260,167,229,200
208,194,283,159,240,246,267,308,274,240,264,247,272,156,209,310,275,196,256,243
269,205,304,166,245,269,337,331,281,250,271,263,298,181,234,316,330,197,267,269
298,239,303,214,298,313,372,358,290,297,270,363,333,237,262,406,369,273,346,303
390,218,403,238,360,311,393,392,369,325,432,368,451,211,331,419,402,296,392,395
387,291,499,256,358,364,530,501,489,378,433,398,413,276,380,545,398,295,442,464
422,299,532,200,407,344,527,573,549,374,446,454,566,274,398,531,459,314,444,526
484,261,400,216,389,390,579,545,454,354,464,509,472,231,456,610,485,360,430,508
379,311,498,254,387,398,496,618,533,413,466,427,431,270,459,533,496,342,449,515
455,322,560,264,398,415,594,579,506,405,552,576,609,294,500,705,510,359,520,620
