V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
123,117,66,113,125,106,110,110,125,97,119,68,114,130,116,64,126,108,122,94
177,187,122,173,182,131,156,159,184,172,164,123,163,191,151,125,183,155,177,158
222,223,171,200,219,193,195,202,235,201,210,131,191,228,182,136,247,205,216,202
238,295,192,258,288,211,245,222,287,222,225,202,247,294,244,177,256,249,302,215
272,334,188,305,287,174,281,274,275,222,235,201,253,292,257,190,280,260,302,248
325,359,206,307,316,272,312,292,318,281,310,220,270,341,318,285,329,314,342,292
366,409,218,381,406,297,367,337,432,264,309,377,375,384,385,244,369,389,387,308
409,456,237,492,458,361,383,329,481,268,401,315,312,400,396,266,399,419,502,340
381,495,231,453,495,382,471,368,392,300,356,344,329,413,391,246,409,346,429,343
404,479,209,545,479,366,470,363,514,312,354,475,338,489,386,261,385,403,456,343
411,506,269,559,562,353,492,386,522,303,354,411,333,503,415,316,446,360,502,305
446,546,263,630,524,419,422,405,541,296,405,419,397,485,397,297,480,452,521,358
