V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
115,129,119,66,117,121,124,109,124,109,118,124,122,123,115,122,122,122,130,122
167,162,144,121,171,191,180,165,181,163,174,165,178,193,195,198,178,194,204,194
193,218,193,128,195,228,209,213,214,228,217,212,199,219,235,208,214,221,230,215
252,248,246,170,224,291,238,239,230,229,280,242,269,252,252,247,241,273,262,233
258,291,297,189,244,345,320,295,229,265,270,264,255,274,271,277,265,304,307,254
294,333,282,190,302,368,411,323,259,376,299,277,309,372,295,305,297,352,360,321
429,407,328,174,327,460,440,388,340,389,382,308,322,400,303,352,365,389,474,327
382,425,341,242,333,549,517,414,339,341,443,305,357,423,386,493,385,431,509,383
466,511,374,251,369,497,513,402,293,381,454,306,357,372,372,367,402,456,537,390
492,528,370,262,353,573,483,484,345,427,446,351,345,486,383,490,356,468,559,341
482,499,394,240,351,585,587,510,305,476,531,315,379,393,345,461,426,464,594,424
551,572,464,245,384,588,510,552,336,445,559,326,405,515,415,544,464,525,571,393
