V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
129,143,108,114,113,119,127,123,100,107,114,129,131,102,131,113,106,151,109,120
175,177,160,164,156,163,182,184,152,169,160,170,177,141,184,136,143,192,177,165
216,246,177,214,183,191,230,223,179,202,178,238,217,175,219,178,220,241,193,198
269,232,202,215,260,269,245,241,246,245,221,282,253,171,272,197,200,305,232,258
335,262,211,235,262,251,277,244,238,280,246,261,280,210,305,179,320,334,267,243
411,322,255,304,324,290,349,296,243,324,238,326,359,230,344,284,330,349,293,312
375,351,309,342,371,321,371,316,292,384,327,372,347,297,394,376,443,385,360,296
452,423,401,358,474,368,376,368,294,431,319,392,395,270,388,380,354,385,418,330
500,421,457,351,516,421,389,349,264,486,381,444,426,305,402,401,418,468,461,374
473,491,398,370,481,406,420,350,314,495,378,445,457,299,448,416,481,389,426,386
522,391,450,440,468,433,381,368,290,398,417,419,484,287,515,448,446,520,459,394
612,496,480,434,578,512,435,415,306,512,348,450,515,327,504,442,452,578,480,366
