V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
100,130,109,119,112,128,101,124,132,129,134,127,110,105,119,109,102,125,108,107
139,206,138,185,169,183,139,180,167,196,203,206,149,149,175,162,142,178,128,144
140,244,187,221,172,236,143,226,222,243,209,238,225,198,224,243,174,239,161,173
191,267,201,327,220,291,158,252,263,289,272,267,243,178,281,216,194,259,226,193
207,299,194,304,263,299,197,261,284,312,309,295,303,233,312,265,203,294,248,208
238,335,254,368,319,351,230,354,386,344,320,390,283,308,384,281,267,302,258,251
250,456,279,392,299,358,199,320,363,434,387,419,321,286,433,356,275,420,329,264
312,451,254,532,371,376,294,371,472,451,427,468,358,378,430,419,345,463,357,323
319,520,258,528,434,433,256,351,424,420,437,542,393,364,471,466,368,473,373,352
257,513,316,619,433,433,231,351,428,472,462,551,391,445,466,491,397,480,368,295
303,551,270,554,426,422,255,383,429,517,485,489,422,414,494,513,359,528,352,240
292,652,294,712,517,456,245,470,514,444,549,622,422,444,528,529,387,578,428,340
