V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
115,128,114,119,118,110,119,115,108,117,104,124,128,111,120,109,100,122,135,131
137,192,187,150,191,148,164,150,137,191,163,198,210,144,195,146,172,185,192,198
184,239,234,172,257,186,211,220,153,218,176,226,217,183,245,197,219,248,221,216
165,292,271,192,255,223,236,231,242,225,235,283,289,218,288,196,247,246,270,320
252,296,309,177,298,237,301,294,280,286,234,311,337,221,296,230,280,329,275,321
340,375,383,293,373,277,317,322,278,339,266,310,378,255,301,269,290,285,319,436
320,390,384,294,423,286,368,366,379,385,324,348,430,279,368,309,342,356,396,456
369,548,479,360,471,279,500,465,413,385,342,435,467,379,412,313,437,506,416,599
351,548,426,303,467,336,459,427,353,484,348,441,508,347,463,277,451,438,429,528
302,488,445,340,466,343,513,469,435,416,366,407,538,325,526,410,467,490,445,685
381,593,477,394,472,288,484,372,393,490,390,395,521,355,478,348,409,431,442,630
372,667,510,380,492,380,599,473,463,600,380,439,566,371,611,422,466,577,466,680
