V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
117,106,123,120,129,126,129,119,114,119,107,108,121,105,110,125,121,124,113,131
212,157,182,151,173,182,159,189,153,175,160,147,193,128,135,196,195,189,155,183
272,238,215,207,232,221,244,211,231,215,172,210,216,152,176,210,232,249,207,237
281,267,257,227,275,270,251,241,206,261,236,235,285,184,189,285,270,299,193,277
339,266,286,301,307,291,248,309,169,278,225,259,311,211,232,306,333,302,198,272
367,344,353,323,306,358,290,368,319,316,296,316,349,239,277,356,371,372,272,349
427,357,350,337,377,380,303,399,352,385,294,322,414,250,382,332,371,464,298,390
486,376,379,393,485,423,362,471,378,385,317,372,536,253,323,386,453,525,382,403
473,405,437,460,370,451,329,416,385,376,342,424,523,279,412,452,432,545,408,434
547,368,419,472,438,452,395,628,402,443,328,418,490,280,462,399,470,568,377,413
490,418,511,525,499,466,396,567,470,424,324,387,527,242,483,400,448,598,428,408
522,430,452,575,497,530,388,542,370,445,360,508,559,344,452,445,480,588,469,488
