V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
109,110,124,123,112,78,127,133,120,123,111,129,139,124,128,106,125,109,125,102
173,165,194,189,164,112,188,193,155,194,134,194,179,173,165,162,165,153,183,133
220,210,249,227,224,165,223,225,197,208,222,247,237,220,255,208,218,195,204,168
256,231,268,225,239,199,268,238,226,225,212,266,292,253,277,237,228,250,240,206
266,270,288,277,274,236,291,292,278,286,270,255,300,285,310,244,285,244,243,250
325,292,305,321,296,234,398,337,324,343,343,335,378,380,384,330,354,344,301,248
374,340,380,361,330,274,431,390,357,376,392,380,417,407,411,419,392,370,291,299
462,360,397,433,303,201,551,499,448,393,487,450,401,464,475,362,402,450,288,363
469,437,387,447,312,267,580,454,480,358,488,395,394,458,523,451,399,393,317,356
521,432,395,395,433,251,623,472,462,407,482,465,487,562,534,424,482,381,296,303
534,374,412,443,407,306,618,463,391,444,466,529,468,484,571,450,477,412,326,398
551,374,435,452,375,261,680,580,472,446,524,470,517,556,636,466,532,473,323,444
