V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
119,113,125,125,123,110,120,129,60,112,120,107,118,117,129,134,117,120,122,107
190,168,202,196,156,172,200,179,130,131,149,162,184,153,196,193,140,163,164,149
243,200,217,248,186,182,242,234,162,165,203,232,243,238,228,254,202,236,194,177
288,219,301,271,223,245,290,292,195,189,249,280,258,253,264,247,303,275,275,218
353,260,298,321,257,270,344,311,199,222,270,236,287,258,324,265,296,288,283,235
391,286,368,349,320,360,390,358,216,244,294,349,321,299,346,312,321,354,357,255
417,326,372,408,423,412,399,351,256,271,365,429,335,390,398,383,370,359,388,300
519,369,475,414,397,475,451,416,237,329,457,491,381,411,442,405,405,389,433,275
485,399,625,497,466,470,431,428,277,308,489,422,365,384,422,392,391,397,482,297
540,469,547,445,471,475,473,429,277,293,476,496,397,483,488,418,387,407,435,309
557,426,564,461,519,446,428,415,261,364,521,507,398,419,519,416,442,438,418,309
636,418,534,480,528,520,515,428,274,328,512,553,453,445,546,452,422,476,459,330
