V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
116,106,102,101,126,114,104,132,132,111,105,128,116,124,115,105,124,119,108,103
162,143,141,173,183,158,154,182,163,155,153,179,156,180,162,136,177,149,135,133
194,196,181,201,225,171,199,240,221,215,204,247,185,244,224,197,201,180,179,188
237,225,196,223,233,190,218,309,222,213,240,286,181,260,211,200,279,166,201,206
245,267,252,274,291,219,236,336,274,265,240,308,227,355,245,244,243,238,236,236
305,315,222,298,271,300,276,356,328,281,281,400,242,383,334,265,319,219,256,207
311,315,323,316,307,291,257,428,352,333,361,419,265,446,372,299,356,233,249,327
417,314,358,362,332,350,269,537,308,364,322,451,301,524,370,361,354,294,331,286
372,313,440,414,360,323,309,503,397,333,368,506,307,503,420,316,370,346,299,280
400,338,384,395,354,320,337,503,364,385,430,463,318,579,450,300,392,380,284,361
394,345,414,397,361,363,304,580,422,362,375,493,313,528,394,365,445,311,329,304
422,352,490,470,324,452,321,604,404,365,434,528,318,651,475,415,444,346,358,334
