V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
132,108,114,116,113,123,114,104,138,126,114,113,120,116,65,123,124,60,116,106
189,151,180,151,182,192,186,133,176,199,150,138,180,188,131,179,199,113,212,116
260,198,233,198,226,222,235,169,219,215,207,160,243,234,171,202,218,166,225,168
287,259,249,215,237,210,254,166,265,301,250,177,274,261,208,239,313,172,263,192
266,268,276,248,287,294,309,220,267,305,288,202,317,343,226,287,307,201,251,190
336,321,318,228,338,324,358,277,291,343,371,203,343,382,225,295,374,239,379,280
420,325,409,235,378,308,363,332,332,372,368,227,404,512,260,436,426,284,395,252
491,364,460,307,358,385,410,358,327,416,392,242,408,443,277,404,502,298,450,301
509,372,565,354,454,395,390,417,359,484,426,319,459,489,359,416,559,313,526,353
531,398,484,328,537,442,429,365,346,426,512,257,526,462,367,491,537,303,531,369
489,498,485,356,523,405,446,369,314,487,501,260,446,469,294,514,598,283,602,340
588,471,486,366,578,410,456,452,395,500,496,275,527,629,352,495,651,313,684,329
