V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
132,128,125,133,109,125,100,128,103,98,124,124,117,132,130,126,109,116,124,106
174,187,173,186,145,186,169,178,165,151,212,154,153,136,187,193,146,174,178,156
226,252,226,234,164,232,179,231,195,180,269,201,198,217,247,233,215,240,232,186
239,284,275,315,179,272,228,250,241,185,282,268,222,240,290,269,218,263,247,290
295,283,300,345,177,297,217,257,243,241,308,263,293,280,311,287,225,306,277,267
299,380,327,340,228,361,282,259,274,246,372,276,325,350,385,330,336,365,356,325
355,392,395,418,271,369,330,295,326,300,431,366,344,384,449,356,355,366,375,377
374,397,384,468,281,410,311,320,360,332,550,399,497,437,506,363,431,466,512,412
339,455,387,509,274,424,313,343,384,320,502,405,440,411,520,380,392,422,482,398
384,515,461,539,298,424,333,333,385,450,532,430,445,422,567,458,450,542,524,483
363,527,454,544,249,441,411,348,354,362,567,419,411,479,584,394,480,405,524,481
413,552,501,607,260,447,372,362,374,387,652,494,506,520,652,416,452,533,542,569
