V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
106,135,68,111,106,106,122,132,126,103,118,125,121,112,104,116,117,119,139,130
137,204,128,170,124,122,181,202,194,144,180,159,144,145,168,148,190,221,186,179
158,251,163,222,164,135,242,242,223,202,230,196,222,186,217,181,247,239,214,233
224,292,174,301,185,180,267,279,269,196,260,220,225,221,228,197,281,295,239,241
222,313,231,294,214,183,265,298,324,245,305,248,265,193,270,219,292,310,282,290
257,408,223,315,196,202,355,349,371,313,361,326,304,269,362,234,399,398,359,352
251,493,287,324,201,224,367,397,420,300,342,399,299,345,330,276,389,464,406,380
334,562,305,404,289,238,429,412,512,355,381,409,323,344,454,337,481,527,461,450
254,528,336,475,276,229,403,439,518,355,446,394,367,341,424,317,487,520,366,420
339,577,271,459,284,247,500,410,563,385,380,411,363,378,445,366,574,575,421,492
271,589,294,452,324,265,526,466,602,415,425,393,383,413,446,344,615,599,489,455
418,615,346,428,284,248,605,460,606,508,476,500,384,428,494,359,620,580,508,544
