V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
122,76,136,120,120,109,122,126,137,103,124,134,115,112,127,122,102,119,112,117
170,127,191,198,173,189,181,184,202,163,176,195,131,180,187,189,133,170,135,156
247,155,218,242,232,224,237,236,238,217,203,228,163,201,211,229,160,218,196,215
268,155,303,263,261,297,264,289,294,216,254,254,246,236,257,272,169,248,186,240
284,165,320,312,267,341,318,272,319,280,251,278,215,262,251,308,179,284,210,292
288,188,348,330,339,401,334,360,369,328,312,397,216,312,313,357,227,317,276,341
415,207,404,362,410,415,435,404,416,304,361,363,255,336,332,396,231,391,294,377
471,229,486,392,417,483,452,433,482,379,386,404,265,363,345,433,262,407,333,435
408,224,504,412,474,477,454,484,505,414,393,489,244,400,385,454,237,414,450,431
502,237,555,371,467,548,505,426,604,414,455,458,285,411,386,483,237,445,448,457
464,254,519,412,555,520,525,406,519,452,404,506,278,416,360,508,278,462,456,456
541,273,594,399,514,523,540,536,612,472,422,440,289,431,380,514,288,413,433,496
