V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
123,126,103,110,126,106,125,100,114,104,124,129,83,56,109,123,122,139,112,128
173,197,146,187,206,173,185,173,147,165,170,191,112,126,175,154,164,161,154,185
231,246,200,198,238,192,214,206,178,200,226,232,157,162,184,191,192,216,209,189
267,276,199,270,267,215,267,241,228,251,228,285,185,178,214,225,254,241,239,225
359,335,243,316,337,231,266,228,275,270,256,323,225,242,241,275,250,254,302,251
436,334,251,283,335,249,319,311,295,314,253,388,299,267,236,295,300,276,314,322
444,439,295,473,418,317,388,378,293,373,269,420,268,304,264,273,383,318,383,376
433,439,360,359,513,322,448,376,359,395,280,504,323,417,430,324,357,308,444,391
530,468,371,471,505,344,392,366,341,412,300,525,301,343,336,347,400,309,483,408
611,492,509,491,573,359,510,370,401,439,309,598,392,390,470,377,418,292,470,385
592,546,475,475,556,359,453,416,345,526,287,605,321,381,411,383,422,371,480,474
579,550,424,514,652,370,502,413,394,480,300,604,387,478,478,410,488,364,504,386
