V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
123,132,100,112,135,119,132,131,112,45,129,122,107,131,128,133,125,122,131,131
195,169,121,156,183,142,194,215,165,118,179,180,146,180,180,174,159,186,199,180
239,212,191,186,190,226,213,235,236,131,223,240,189,230,266,236,215,229,262,218
273,255,183,223,256,261,266,287,238,152,232,272,202,295,293,255,265,236,307,239
305,277,198,242,274,253,291,317,293,171,318,293,265,324,323,261,279,254,355,256
348,324,252,292,330,343,305,437,321,214,330,366,296,345,346,273,305,271,404,294
415,391,235,273,366,363,427,467,319,213,382,440,356,360,431,372,353,318,503,375
454,399,248,317,451,422,470,521,408,207,473,478,304,388,423,400,424,381,567,404
530,405,245,343,525,416,478,600,415,228,425,481,359,421,506,428,387,415,538,369
538,459,296,334,466,476,519,588,499,239,449,494,412,412,524,448,428,340,573,374
484,491,300,339,520,441,477,571,481,259,581,548,423,417,530,416,427,356,529,380
622,494,309,394,528,466,558,741,480,250,567,462,461,480,566,473,446,405,642,488
