V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
108,130,121,115,132,109,129,93,97,69,109,98,111,109,101,136,101,131,110,134
153,182,185,177,208,165,191,132,144,117,156,144,133,161,178,196,131,182,156,189
186,246,226,205,229,192,243,167,143,140,211,190,188,198,200,217,160,227,199,214
239,227,243,250,269,208,259,210,198,185,248,230,191,225,256,255,199,311,205,279
240,288,256,280,334,271,303,240,205,195,266,263,231,220,261,282,202,356,277,251
270,333,280,343,351,272,352,290,239,264,297,259,255,313,322,326,183,364,298,255
331,349,297,338,496,324,361,263,296,245,355,232,276,286,349,349,275,389,342,268
351,398,321,465,566,405,411,292,245,260,423,280,237,323,387,389,246,418,356,297
359,415,339,420,492,439,413,342,286,260,489,264,281,333,403,367,263,442,347,342
345,418,333,390,578,391,406,368,271,261,531,297,408,325,388,407,282,464,363,302
356,475,317,439,637,466,419,380,264,342,518,309,376,360,410,381,246,464,403,366
370,480,448,522,628,500,456,444,310,312,487,313,372,353,439,411,295,520,378,368
