V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
128,128,119,115,116,109,119,118,118,112,123,103,121,110,133,111,104,137,112,120
195,199,161,147,169,135,162,198,190,157,163,137,179,144,184,147,126,197,182,194
233,219,224,214,211,171,197,208,235,197,189,173,241,157,240,189,155,239,221,216
280,271,251,265,248,180,266,257,284,234,274,231,270,195,305,196,199,307,231,255
272,346,269,248,251,211,328,290,328,263,243,203,292,232,325,204,237,310,241,291
355,393,308,364,330,296,293,307,363,288,357,254,342,231,372,219,264,394,340,329
376,463,376,349,380,278,370,360,463,300,374,251,395,307,394,314,307,410,426,387
423,438,358,447,397,419,439,336,464,308,395,331,477,318,439,390,354,491,511,399
455,495,438,406,470,388,405,344,464,301,487,285,454,294,474,376,395,455,475,434
404,572,400,466,466,374,437,410,487,290,508,301,534,312,489,425,389,470,512,415
467,534,407,403,394,359,451,434,496,378,465,324,495,290,498,358,421,541,481,420
540,613,452,515,520,436,529,410,534,381,546,340,534,310,570,387,492,512,560,472
