V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
109,112,128,131,122,124,68,108,131,116,117,122,129,105,105,116,106,110,111,128
161,164,193,194,154,191,130,167,194,161,187,153,174,161,159,157,151,149,156,180
160,222,253,258,206,224,131,197,240,192,218,214,246,182,153,189,190,170,223,254
233,228,304,309,225,292,158,246,273,223,262,258,309,228,229,200,183,186,243,302
229,295,273,333,273,321,196,246,332,250,270,268,319,242,221,252,195,211,334,292
316,283,377,387,304,361,318,296,355,327,311,332,372,276,253,281,279,198,301,367
353,370,411,409,307,360,334,300,439,404,396,386,421,348,284,386,270,243,394,473
350,390,451,402,275,443,403,347,441,286,434,400,495,320,328,477,286,280,503,533
377,457,454,449,335,454,374,309,445,395,386,480,409,357,293,394,306,315,562,520
401,388,475,517,326,464,344,337,484,356,427,523,523,343,306,437,323,280,625,563
346,472,491,473,334,461,402,331,488,454,571,491,456,396,283,454,295,294,529,626
444,536,500,558,344,509,442,348,570,415,602,524,546,423,310,479,350,344,560,588
