V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
119,118,118,114,116,128,111,125,108,110,110,115,114,125,95,124,119,126,131,102
192,143,171,146,193,183,163,183,142,134,159,189,201,185,125,193,162,164,210,118
234,207,209,212,228,246,211,219,224,174,165,227,262,232,164,238,213,202,220,158
296,256,254,254,243,258,220,239,243,231,229,254,272,295,165,269,264,264,323,165
295,252,271,298,288,290,291,310,244,218,265,287,309,296,192,269,325,270,294,157
337,320,328,291,306,330,317,352,347,280,276,331,352,339,224,288,302,347,342,188
379,424,315,347,387,371,404,345,420,330,330,454,370,367,219,372,425,380,384,193
418,395,385,357,460,420,476,403,428,359,331,412,423,377,256,417,419,473,511,220
442,447,364,418,417,383,423,444,490,425,344,458,474,390,235,459,468,410,421,213
489,534,382,344,396,386,498,402,465,429,461,488,427,398,212,461,492,429,538,221
423,512,359,404,445,479,467,414,375,393,436,513,490,409,208,511,457,592,489,199
485,506,420,434,473,497,475,511,584,348,505,536,488,432,220,544,528,551,524,223
