V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
130,128,109,104,124,116,135,109,130,114,126,62,120,111,118,138,127,134,122,105
202,167,145,146,195,168,175,155,210,174,185,128,173,129,181,183,176,184,175,146
229,255,215,151,260,214,201,180,232,215,223,162,218,165,202,231,236,212,282,175
266,266,159,145,272,250,244,188,290,243,271,243,263,179,238,300,260,272,262,198
311,309,255,148,316,307,258,193,312,309,303,230,285,252,267,309,299,353,246,209
334,321,260,191,400,342,324,182,378,306,319,285,305,264,304,364,302,433,308,254
439,371,299,197,390,381,371,271,440,328,391,313,390,280,384,419,388,457,380,252
405,461,345,192,425,406,439,268,493,352,398,328,427,366,457,421,385,491,498,372
383,448,309,199,530,441,492,284,491,395,449,432,454,386,531,483,426,518,426,316
454,503,327,235,621,414,463,338,574,345,435,384,409,340,476,498,442,536,564,265
521,495,286,191,579,404,442,239,559,371,442,367,463,355,567,484,488,535,457,279
528,552,387,190,700,552,541,290,620,440,429,442,487,435,680,552,527,532,650,340
