V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
127,118,65,106,121,134,109,114,123,112,125,125,115,129,66,115,126,122,104,72
186,191,107,156,188,174,151,159,186,147,172,170,133,216,117,141,181,191,147,128
247,224,148,157,227,234,196,208,250,205,213,207,155,218,163,182,201,241,147,158
288,261,147,196,231,268,269,255,305,257,220,232,202,274,209,283,268,286,173,165
332,310,181,160,256,302,249,259,314,225,246,272,194,342,219,257,286,315,205,233
389,352,198,263,295,347,360,309,374,257,252,310,250,365,233,301,306,387,195,252
452,405,236,313,302,395,307,427,434,317,279,372,312,413,367,391,382,454,209,361
457,419,214,386,350,462,413,407,482,366,296,374,417,412,349,379,401,519,226,335
540,454,239,351,390,405,409,469,512,375,325,350,325,445,342,368,379,492,251,370
508,468,276,323,409,455,411,477,515,381,325,367,401,457,366,417,402,583,247,407
510,446,285,406,421,460,508,544,567,392,282,330,462,442,295,408,377,503,240,405
649,520,289,511,370,544,529,498,657,430,316,369,460,510,460,451,404,585,246,516
