V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
126,122,130,120,126,141,134,130,91,122,113,103,128,118,109,125,115,122,66,109
193,189,177,172,173,218,195,190,162,158,150,160,175,191,156,194,169,187,120,168
237,237,232,210,217,232,251,215,194,217,221,183,220,200,196,245,200,222,164,236
262,318,254,241,295,256,297,262,195,239,222,229,234,293,243,266,257,291,210,260
339,304,272,257,284,319,297,259,251,237,273,270,314,302,254,353,288,356,187,249
351,354,341,290,338,342,376,367,270,322,328,312,361,322,318,344,350,419,211,296
428,446,362,331,373,408,484,366,305,316,375,338,410,294,367,429,362,476,241,398
442,556,428,378,394,393,549,410,308,329,386,315,435,395,336,518,413,516,271,466
480,574,501,356,511,525,495,423,333,348,463,377,461,375,369,569,484,451,248,408
474,586,409,359,416,502,549,410,320,376,425,364,511,400,393,535,411,530,328,488
479,557,538,374,465,459,601,458,329,396,433,380,489,394,381,502,433,554,284,432
509,660,526,393,524,528,604,431,338,365,478,410,533,446,395,628,521,644,335,632
