V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
117,115,120,109,135,105,107,122,114,69,119,137,107,122,122,109,112,132,140,111
179,160,211,149,187,164,155,180,192,126,166,185,160,194,154,137,129,206,173,140
243,201,219,203,223,213,197,210,214,168,225,236,232,232,198,163,178,251,219,150
297,240,280,168,279,286,218,263,260,172,233,297,213,250,252,216,179,273,225,168
332,288,279,234,284,282,247,318,269,205,261,312,253,301,272,264,199,300,287,263
355,333,343,239,324,352,279,364,321,221,319,358,251,332,317,294,227,391,346,249
411,437,382,299,355,454,283,372,403,251,291,474,302,366,306,255,263,366,358,349
505,467,491,401,385,486,320,510,471,281,317,494,405,400,390,354,294,501,406,334
441,497,540,402,368,507,341,422,440,297,352,531,369,418,340,405,282,418,368,373
464,571,531,466,388,411,336,515,421,287,325,522,377,427,349,410,253,505,359,389
502,505,558,562,400,525,332,517,430,305,353,589,466,461,383,324,288,531,417,365
540,620,580,470,424,542,382,587,552,351,338,671,459,465,384,492,264,570,522,363
