V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
103,116,111,124,127,115,125,109,116,130,123,127,105,113,107,122,110,116,129,135
166,194,157,180,162,203,167,165,123,213,162,169,153,171,137,183,164,155,177,188
206,234,205,248,232,247,232,210,172,247,181,211,209,205,198,249,198,207,206,227
243,297,237,271,239,292,247,206,195,242,245,251,236,224,203,247,234,221,245,294
270,312,288,299,244,319,296,253,241,329,267,236,263,274,257,299,311,261,307,312
296,379,382,329,273,357,283,333,243,343,293,310,294,288,272,397,379,333,322,388
286,449,424,394,370,393,389,348,304,392,337,323,335,313,264,458,402,369,362,430
356,480,508,437,346,512,462,422,269,422,359,365,387,323,275,464,388,355,450,513
381,507,497,463,368,458,480,358,284,431,372,359,382,346,290,556,481,405,410,553
326,471,486,435,318,472,440,405,306,525,385,366,415,420,298,569,521,388,474,509
323,495,503,459,399,538,405,367,279,472,397,382,374,413,314,586,561,464,421,482
440,534,570,500,390,546,520,410,358,522,425,400,423,420,301,644,551,432,494,615
