V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
122,106,115,133,136,127,99,140,104,114,115,111,128,60,142,122,117,122,113,121
196,142,163,207,193,191,153,196,154,201,160,153,184,140,180,181,194,204,190,207
235,186,222,235,253,243,197,239,154,234,209,199,236,153,197,237,222,257,221,224
255,238,254,287,283,281,206,288,201,252,276,240,280,217,240,289,293,282,273,300
353,238,273,324,351,341,217,373,251,280,256,246,312,207,273,299,294,323,278,288
371,279,318,387,368,400,237,334,300,298,327,329,382,244,337,383,348,412,336,398
482,369,334,434,493,467,296,399,358,368,459,344,401,323,372,477,427,478,348,430
486,377,382,526,503,554,294,495,396,403,405,321,446,394,382,572,393,497,369,460
542,405,425,627,546,563,277,559,407,538,522,385,507,431,434,467,457,518,345,533
674,396,425,563,535,533,297,523,356,533,538,379,554,439,389,536,433,615,352,564
579,382,517,590,545,567,309,542,529,502,499,402,548,424,415,619,475,626,351,509
624,590,416,624,572,628,316,603,490,668,533,345,660,460,461,554,486,678,380,594
