V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
125,108,121,119,149,124,107,130,127,104,116,120,119,123,117,124,116,104,103,122
214,138,198,188,181,193,131,181,201,144,184,193,178,191,151,167,191,130,138,167
214,154,226,211,233,247,196,220,228,159,254,211,212,241,206,233,224,185,177,236
290,206,305,231,262,287,198,296,282,219,251,270,284,300,242,233,285,203,172,237
318,194,287,258,303,300,228,326,302,259,255,310,267,346,257,334,296,201,191,276
401,188,365,302,379,359,215,315,378,300,307,297,325,345,328,297,343,234,209,291
458,213,434,313,438,426,231,357,420,299,346,358,328,379,332,360,367,262,228,293
507,235,443,322,414,511,222,462,462,363,360,434,384,419,407,502,429,251,264,312
556,211,489,333,494,556,320,499,504,349,385,544,418,466,446,487,501,257,223,343
603,232,596,329,488,565,294,534,527,385,403,531,403,457,467,557,439,331,232,359
535,249,558,345,537,592,292,556,527,451,397,447,397,488,482,480,483,303,270,368
612,269,588,368,534,615,280,620,554,415,464,506,422,492,616,560,540,294,264,336
