V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
126,136,114,112,120,129,125,121,122,107,114,112,116,117,126,125,126,131,95,129
189,178,183,160,183,189,194,194,180,139,158,147,161,173,170,175,195,199,126,189
205,200,245,206,263,231,231,223,245,145,154,203,186,215,233,233,220,240,162,222
268,250,305,240,291,288,256,303,254,197,206,252,220,271,280,251,257,296,160,283
285,276,303,249,307,300,280,327,274,235,224,291,266,289,267,329,336,331,183,287
326,349,317,270,359,352,375,378,293,245,247,303,292,338,347,344,345,353,187,304
397,437,390,311,459,407,391,405,371,278,243,380,388,407,405,352,415,412,210,435
439,492,405,345,483,458,428,468,393,290,284,406,462,431,473,374,472,451,193,458
434,493,423,326,497,495,494,563,521,313,367,430,436,506,500,444,378,455,235,445
529,431,407,365,550,493,494,481,512,273,382,457,473,558,550,459,474,449,225,537
507,541,429,327,438,555,484,584,522,275,368,460,499,417,527,461,481,429,188,500
552,552,479,348,566,594,533,556,570,319,359,494,551,595,537,456,480,464,231,470
