V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
124,107,130,127,121,115,113,112,66,124,115,120,125,138,111,134,104,119,121,123
195,168,175,199,187,142,157,151,154,202,152,184,193,195,140,196,136,179,144,184
262,197,232,238,239,157,220,212,164,241,206,222,210,236,172,223,161,230,200,217
248,227,283,329,292,218,236,222,195,269,234,207,237,245,203,231,187,282,261,287
296,251,309,321,388,208,279,300,235,310,314,285,319,343,226,279,227,358,296,289
374,274,414,385,403,227,298,291,267,329,306,366,349,439,244,315,229,355,317,361
400,346,446,405,412,275,399,391,243,388,417,366,367,447,317,408,248,449,354,407
498,345,529,522,514,276,355,435,257,385,440,444,465,524,306,394,310,563,410,423
523,358,542,594,517,312,415,502,276,442,401,477,463,526,344,456,308,539,421,442
543,363,561,471,467,323,481,463,269,405,505,484,426,611,303,384,339,540,506,522
602,371,613,515,557,302,521,483,261,447,492,492,500,585,302,499,345,664,460,499
588,397,612,620,549,334,496,533,297,424,641,520,472,588,358,474,386,619,441,510
