V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
116,134,123,103,129,129,104,108,110,57,123,117,111,116,130,111,115,109,123,131
138,185,188,145,183,185,129,145,131,107,176,185,178,187,192,180,189,176,181,178
200,236,256,194,221,245,164,174,163,156,229,221,220,243,240,205,207,212,223,224
259,237,268,197,282,277,206,219,184,192,253,261,241,257,257,276,252,250,286,287
220,298,269,244,266,300,218,283,243,219,261,269,281,276,258,305,246,263,331,323
342,326,345,265,299,378,217,227,267,240,269,284,318,332,310,321,294,279,344,356
349,426,398,270,362,430,208,293,272,259,297,337,330,423,363,399,350,380,413,352
388,318,454,277,399,540,224,302,277,278,332,335,429,448,403,437,384,396,439,408
382,426,469,311,449,561,256,367,279,231,314,360,501,502,507,401,349,368,500,370
466,443,484,332,407,534,296,337,284,286,314,397,444,508,429,460,414,427,570,423
420,457,457,306,439,563,261,390,259,264,348,333,501,532,504,472,451,390,529,427
520,416,551,332,487,596,325,352,330,333,352,415,424,640,552,485,428,464,552,446
