"","test_freq","delay","sensitivity","sens_multiplier","Rc","Rc.Median","Rc.upper","Rc.lower","Rc.Q3","Rc.Q1","Rc.Min","Rc.Max","R0","R0_base"
"1",1,1,"random",1,0.246889352637535,0.113937223186465,0.255189227853787,0.238589477421283,0.026991988276265,0.383559377481827,1.6090238891681,0,2.5,2.5
"2",2,1,"random",1,0.497302022511105,0.332684883279477,0.50633578736801,0.4882682576542,0.0577379518180049,0.820640951159773,2.19068042315453,0,2.5,2.5
"3",3,1,"random",1,0.696011920542173,0.486838736261222,0.70576311233906,0.686260728745285,0.0934207603528225,1.18016079678707,2.48411077109731,0,2.5,2.5
"4",4,1,"random",1,0.921397643774565,0.787009643497945,0.93184358330232,0.91095170424681,0.152426597022138,1.58556692567328,2.5,0,2.5,2.5
"5",5,1,"random",1,1.13540551033317,1.12278340494611,1.14630758251616,1.12450343815019,0.251219874271288,1.91815883648339,2.5,0,2.5,2.5
"6",7,1,"random",1,1.40017657428733,1.51625741015732,1.4115635339865,1.38878961458817,0.462202857554725,2.22335876202237,2.5,0,2.5,2.5
"7",10,1,"random",1,1.68670718044643,1.92259600133071,1.69838461428174,1.67502974661112,0.917907602600533,2.49889624832983,2.5,0,2.5,2.5
"8",15,1,"random",1,1.92798264380281,2.18348631924429,1.93968517857082,1.91628010903481,1.3908932748786,2.5,2.5,0,2.5,2.5
"9",20,1,"random",1,2.08495824788544,2.34872612998359,2.09630191921035,2.07361457656053,1.65870481298258,2.5,2.5,0,2.5,2.5
"10",25,1,"random",1,2.12538011725966,2.39232331948073,2.13696428876709,2.11379594575222,1.757696183736,2.5,2.5,0,2.5,2.5
"11",30,1,"random",1,2.30574357582032,2.47519190176364,2.31679194208379,2.29469520955684,1.94938114146056,2.5,2.5,0,2.5,2.5
"12",1,1,"random",1,0.178914880355716,0.0607558662134019,0.186696846327958,0.171132914383474,0.0121285473746141,0.264534070236628,1.33215120089914,0,2,2
"13",2,1,"random",1,0.36131318386292,0.167055047133696,0.369646414496926,0.352979953228914,0.03159492021196,0.62145758349048,1.84674764658543,0,2,2
"14",3,1,"random",1,0.557867440859762,0.329791168546986,0.566894818234286,0.548840063485238,0.0474059402336499,1.01353589375662,2,0,2,2
"15",4,1,"random",1,0.718309193204796,0.575985852507474,0.727824933093132,0.70879345331646,0.0592833634418079,1.30160896124136,2,0,2,2
"16",5,1,"random",1,0.84945813801857,0.738600203161928,0.859391193478194,0.839525082558948,0.0848166414017379,1.51473338503083,2,0,2,2
"17",7,1,"random",1,1.06012201520609,1.12043365248498,1.07053703017063,1.04970700024155,0.136560600913128,1.81483044791204,2,0,2,2
"18",10,1,"random",1,1.27190165682532,1.45242778919848,1.28265903877072,1.26114427487992,0.209082278340074,2,2,0,2,2
"19",15,1,"random",1,1.5001316429945,1.80552642292547,1.51105185943322,1.48921142655579,0.649232339199042,2,2,0,2,2
"20",20,1,"random",1,1.65504865773323,1.92350631522935,1.66582478643077,1.64427252903569,1.24829645472245,2,2,0,2,2
"21",25,1,"random",1,1.73230359935426,1.98342694977674,1.74296811191063,1.72163908679789,1.37147046472509,2,2,0,2,2
"22",30,1,"random",1,1.7613281830825,2,1.77215691102331,1.75049945514169,1.47555016577963,2,2,0,2,2
"23",1,1,"random",1,0.114652139191459,0.0239548390766506,0.122446720280114,0.106857558102805,0.00383645763918594,0.138932766820742,1.10838756964361,0,1.5,1.5
"24",2,1,"random",1,0.232785570514265,0.0563768881003096,0.240914618151762,0.224656522876769,0.00702550547186853,0.361525060590802,1.48059034242259,0,1.5,1.5
"25",3,1,"random",1,0.354302519807496,0.0853057366058474,0.362878740181339,0.345726299433654,0.0113719701608521,0.649524276825819,1.5,0,1.5,1.5
"26",4,1,"random",1,0.468544647904051,0.170314753281559,0.477549960846364,0.45953933496174,0.0129008672569321,0.88087862962353,1.5,0,1.5,1.5
"27",5,1,"random",1,0.577655190973399,0.215430272011576,0.587062627328693,0.568247754618107,0.0160596414754274,1.15549748045934,1.5,0,1.5,1.5
"28",7,1,"random",1,0.742398965535298,0.529229161136534,0.752290272705138,0.732507658365461,0.0270519704613434,1.44790128922149,1.5,0,1.5,1.5
"29",10,1,"random",1,0.902458305633743,0.966080159049314,0.912631777728336,0.892284833539148,0.0442207459077391,1.5,1.5,0,1.5,1.5
"30",15,1,"random",1,1.1339428621621,1.42880340438828,1.14446337386308,1.12342235046112,0.0543921634589489,1.5,1.5,0,1.5,1.5
"31",20,1,"random",1,1.20377217452522,1.5,1.21439137545669,1.19315297359375,0.0504170896208176,1.5,1.5,0,1.5,1.5
"32",25,1,"random",1,1.24529713278399,1.5,1.25598329744528,1.23461096812269,0.080722637936037,1.5,1.5,0,1.5,1.5
"33",30,1,"random",1,1.29442193267828,1.5,1.30524330454247,1.28360056081409,0.0679735898486925,1.5,1.5,0,1.5,1.5
"34",1,1,"random",0.8,0.175584030222154,0.037982479396932,0.184458692563439,0.166709367880871,0.00360227787537305,0.264192096767259,1.25054653348907,0,1.5,1.5
"35",2,1,"random",0.8,0.322734751949534,0.0772562071012695,0.332177081621178,0.313292422277888,0.00775455506755193,0.547822235057593,1.5,0,1.5,1.5
