"","test_freq","outcome","risk","delay","sensitivity","sens_multiplier","Lower","Upper","Min","Q1","Median","Mean","Q3","Max","R0"
"1","1","Infectiousness","1.28","1","random","1","95.2826084848047","92.1986546436171","100","100","100","93.7406315642109","99.1513879902386","0",2.5
"2","1","nInfected","1.28","1","random","1","81.6932608413072","78.5282979267632","100","100","100","80.1107793840352","96.0716530483972","0",2.5
"3","2","Infectiousness","1.28","1","random","1","87.4127926670105","84.2621302906619","100","100","100","85.8374614788362","97.9209718592893","0",2.5
"4","2","nInfected","1.28","1","random","1","71.6906476335606","68.4177747423036","100","100","100","70.0542111879321","96.0716530483972","0",2.5
"5","3","Infectiousness","1.28","1","random","1","83.3994393683559","80.1928025218387","100","100","100","81.7961209450973","97.8239353458937","0",2.5
"6","3","nInfected","1.28","1","random","1","70.8398201933963","67.5244161359563","100","100","100","69.1821181646763","96.0716530483972","0",2.5
"7","4","Infectiousness","1.28","1","random","1","73.8906072516088","70.5639351203023","100","100","100","72.2272711859555","97.1964196893025","0",2.5
"8","4","nInfected","1.28","1","random","1","60.7880602882495","57.3373325464457","100","100","100","59.0626964173476","96.0716530483972","0",2.5
"9","5","Infectiousness","1.28","1","random","1","62.2231119347039","58.7365724231249","100","100","100","60.4798421789144","95.7881993623647","0",2.5
"10","5","nInfected","1.28","1","random","1","50.0076846581047","46.4096629220335","100","100","100","48.2086737900691","92.1433060967945","0",2.5
"11","7","Infectiousness","1.28","1","random","1","54.1330161405387","50.5213785260639","100","100","100","52.3271973333013","95.3228942123003","0",2.5
"12","7","nInfected","1.28","1","random","1","43.0102870279304","39.3121516898572","100","100","100","41.1612193588938","92.1433060967945","0",2.5
"13","10","Infectiousness","1.28","1","random","1","43.377643270536","39.6233914557708","100","100","100","41.5005173631534","94.3322422290395","0",2.5
"14","10","nInfected","1.28","1","random","1","32.7686304125602","28.9378435032161","100","100","100","30.8532369578881","92.1433060967945","0",2.5
"15","15","Infectiousness","1.28","1","random","1","12.6163557677826","8.48913120531991","100","100","100","10.5527434865513","29.184498404131","0",2.5
"16","15","nInfected","1.28","1","random","1","6.75739529028","2.65492400576023","100","100","100","4.70615964802011","0","0",2.5
"17","20","Infectiousness","1.28","1","random","1","8.7920757167983","4.63827473789704","100","100","100","6.71517522734767","0","0",2.5
"18","20","nInfected","1.28","1","random","1","1.21710024278424","0","100","100","100","0","0","0",2.5
"19","25","Infectiousness","1.28","1","random","1","6.8717991197414","2.66477928017849","100","100","100","4.76828919995995","0","0",2.5
"20","25","nInfected","1.28","1","random","1","1.69882357302349","0","100","100","100","0","0","0",2.5
"21","30","Infectiousness","1.28","1","random","1","3.38877846164708","0","100","100","100","1.2599967385003","0","0",2.5
"22","30","nInfected","1.28","1","random","1","0.386603248847665","0","100","100","100","0","0","0",2.5
"23","1","Infectiousness","0.96","1","random","1","95.8705886379919","92.1475363996991","100","100","100","94.0090625188455","99.795182849507","0",2
"24","1","nInfected","0.96","1","random","1","81.7975418845522","77.9791144023585","100","100","100","79.8883281434554","94.899602705895","0",2
"25","2","Infectiousness","0.96","1","random","1","86.1499340867658","82.3383401129169","100","100","100","84.2441370998413","99.496051809679","0",2
"26","2","nInfected","0.96","1","random","1","67.9946389744653","63.9821676399447","100","100","100","65.988403307205","94.899602705895","0",2
"27","3","Infectiousness","0.96","1","random","1","83.5366073257934","79.6718199174808","100","100","100","81.6042136216371","98.7957128789952","0",2
"28","3","nInfected","0.96","1","random","1","69.7534232898877","65.7453418770832","100","100","100","67.7493825834855","94.899602705895","0",2
"29","4","Infectiousness","0.96","1","random","1","76.4736462340755","72.490597648252","100","100","100","74.4821219411638","98.401681758117","0",2
"30","4","nInfected","0.96","1","random","1","64.3886928180385","60.275754728402","100","100","100","62.3322237732202","94.899602705895","0",2
"31","5","Infectiousness","0.96","1","random","1","65.5312936158288","61.4078956611203","100","100","100","63.4695946384746","97.198247455709","0",2
