"","test_freq","delay","sensitivity","sens_multiplier","Rc","Rc.Median","Rc.upper","Rc.lower","Rc.Q3","Rc.Q1","Rc.Min","Rc.Max","R0","R0_base"
"1",1,1,"random",1,0.156484210894727,0,0.195033633909572,0.117934787879883,0,0.0212153002440349,2.5,0,2.5,2.5
"2",2,1,"random",1,0.354063463029095,0,0.393446742733452,0.314680183324737,0,0.0519757035177676,2.5,0,2.5,2.5
"3",3,1,"random",1,0.455096976372568,0,0.495179936954033,0.415014015791103,0,0.0544016163526575,2.5,0,2.5,2.5
"4",4,1,"random",1,0.694318220351113,0,0.735901621992442,0.65273481870978,0,0.0700895077674375,2.5,0,2.5,2.5
"5",5,1,"random",1,0.98800394552714,0,1.03158568942188,0.944422201632403,0,0.105295015940883,2.5,0,2.5,2.5
"6",7,1,"random",1,1.19182006666747,0,1.2369655368484,1.14667459648653,0,0.116927644692493,2.5,0,2.5,2.5
"7",10,1,"random",1,1.46248706592116,0,1.50941521360573,1.4155589182366,0,0.141693944274013,2.5,0,2.5,2.5
"8",15,1,"random",1,2.23618141283622,0,2.287771719867,2.18459110580543,0,1.77038753989673,2.5,0,2.5,2.5
"9",20,1,"random",1,2.33212061931631,0,2.38404313155257,2.28019810708004,0,2.5,2.5,0,2.5,2.5
"10",25,1,"random",1,2.380792770001,0,2.43338051799554,2.32820502200647,0,2.5,2.5,0,2.5,2.5
"11",30,1,"random",1,2.46850008153749,0,2.5,2.41528053845882,0,2.5,2.5,0,2.5,2.5
"12",1,1,"random",1,0.11981874962309,0,0.157049272006018,0.082588227240162,0,0.00409634300985999,2,0,2,2
"13",2,1,"random",1,0.315117258003174,0,0.353233197741662,0.277001318264684,0,0.0100789638064199,2,0,2,2
"14",3,1,"random",1,0.367915727567258,0,0.406563601650384,0.329267853484132,0,0.0240857424200959,2,0,2,2
"15",4,1,"random",1,0.510357561176724,0,0.55018804703496,0.47052707531849,0,0.0319663648376601,2,0,2,2
"16",5,1,"random",1,0.730608107230508,0,0.771842086777594,0.689374127683424,0,0.0560350508858201,2,0,2,2
"17",7,1,"random",1,0.950559303170762,0,0.993783635397826,0.907334970943696,0,0.0450947464571459,2,0,2,2
"18",10,1,"random",1,1.10671817860732,0,1.15164836729054,1.06178798992411,0,0.00667722526926809,2,0,2,2
"19",15,1,"random",1,1.4381079180581,0,1.48524143967043,1.39097439644577,0,0.087455983756054,2,0,2,2
"20",20,1,"random",1,1.62895901634407,0,1.67797138847373,1.57994664421442,0,0.082288944945054,2,0,2,2
"21",25,1,"random",1,1.68469958731963,0,1.7342722627316,1.63512691190766,0,0.0776752966216699,2,0,2,2
"22",30,1,"random",1,1.86589616260498,0,1.91643044031468,1.81536188489529,0,0.0983266501032179,2,0,2,2
"23",1,1,"random",1,0.0867170277636149,0,0.119997402761598,0.0534366527656305,0,0,1.5,0,1.5,1.5
"24",2,1,"random",1,0.217720366717044,0,0.25169351377255,0.183747219661539,0,0,1.5,0,1.5,1.5
"25",3,1,"random",1,0.30613894088829,0,0.34086368051693,0.271414201259649,0,0,1.5,0,1.5,1.5
"26",4,1,"random",1,0.373047754168504,0,0.408576043795203,0.337519464541806,0,0,1.5,0,1.5,1.5
"27",5,1,"random",1,0.499479298215757,0,0.535799744342264,0.463158852089251,0,0,1.5,0,1.5,1.5
"28",7,1,"random",1,0.494572424702036,0,0.531343064753782,0.457801784650288,0,0,1.5,0,1.5,1.5
"29",10,1,"random",1,0.882933601619121,0,0.923279854405839,0.842587348832404,0,0,1.5,0,1.5,1.5
"30",15,1,"random",1,1.13070299603074,0,1.17301650637462,1.08838948568687,0,0,1.5,0,1.5,1.5
"31",20,1,"random",1,1.26261811226742,0,1.30624752135192,1.21898870318293,0,0,1.5,0,1.5,1.5
"32",25,1,"random",1,1.19590005675445,0,1.23933305756421,1.15246705594468,0,0,1.5,0,1.5,1.5
"33",30,1,"random",1,1.28834877254724,0,1.33222000252966,1.24447754256482,0,0,1.5,0,1.5,1.5
