"","test_freq","R0","delay","sensitivity","sens_multiplier","CI"
"1",1,2.5,1,"random",1,"93.7% (92.2,95.3)"
"2",2,2.5,1,"random",1,"85.8% (84.3,87.4)"
"3",3,2.5,1,"random",1,"81.8% (80.2,83.4)"
"4",4,2.5,1,"random",1,"72.2% (70.6,73.9)"
"5",5,2.5,1,"random",1,"60.5% (58.7,62.2)"
"6",7,2.5,1,"random",1,"52.3% (50.5,54.1)"
"7",10,2.5,1,"random",1,"41.5% (39.6,43.4)"
"8",15,2.5,1,"random",1,"10.6% (8.5,12.6)"
"9",20,2.5,1,"random",1,"6.7% (4.6,8.8)"
"10",25,2.5,1,"random",1,"4.8% (2.7,6.9)"
"11",30,2.5,1,"random",1,"1.3% (0,3.4)"
"12",1,2,1,"random",1,"94% (92.1,95.9)"
"13",2,2,1,"random",1,"84.2% (82.3,86.1)"
"14",3,2,1,"random",1,"81.6% (79.7,83.5)"
"15",4,2,1,"random",1,"74.5% (72.5,76.5)"
"16",5,2,1,"random",1,"63.5% (61.4,65.5)"
"17",7,2,1,"random",1,"52.5% (50.3,54.6)"
"18",10,2,1,"random",1,"44.7% (42.4,46.9)"
"19",15,2,1,"random",1,"28.1% (25.7,30.5)"
"20",20,2,1,"random",1,"18.6% (16.1,21)"
"21",25,2,1,"random",1,"15.8% (13.3,18.2)"
"22",30,2,1,"random",1,"6.7% (4.2,9.2)"
"23",1,1.5,1,"random",1,"94.2% (92,96.4)"
"24",2,1.5,1,"random",1,"85.5% (83.2,87.8)"
"25",3,1.5,1,"random",1,"79.6% (77.3,81.9)"
"26",4,1.5,1,"random",1,"75.1% (72.8,77.5)"
"27",5,1.5,1,"random",1,"66.7% (64.3,69.1)"
"28",7,1.5,1,"random",1,"67% (64.6,69.5)"
"29",10,1.5,1,"random",1,"41.1% (38.4,43.8)"
"30",15,1.5,1,"random",1,"24.6% (21.8,27.4)"
"31",20,1.5,1,"random",1,"15.8% (12.9,18.7)"
"32",25,1.5,1,"random",1,"20.3% (17.4,23.2)"
"33",30,1.5,1,"random",1,"14.1% (11.2,17)"
"34",1,1.5,3,"random",1,"74.4% (72.1,76.7)"
"35",2,1.5,3,"random",1,"55.3% (52.8,57.8)"
"36",3,1.5,3,"random",1,"56.4% (53.9,58.9)"
"37",4,1.5,3,"random",1,"45.2% (42.6,47.9)"
"38",5,1.5,3,"random",1,"39.4% (36.7,42)"
"39",7,1.5,3,"random",1,"24.1% (21.3,26.9)"
"40",10,1.5,3,"random",1,"20.6% (17.8,23.5)"
"41",15,1.5,3,"random",1,"10.3% (7.3,13.2)"
"42",20,1.5,3,"random",1,"3.8% (0.8,6.7)"
"43",25,1.5,3,"random",1,"21.6% (18.7,24.5)"
"44",30,1.5,3,"random",1,"7% (4,10)"
"45",1,1.5,5,"random",1,"50.5% (48,53)"
"46",2,1.5,5,"random",1,"33.9% (31.2,36.5)"
"47",3,1.5,5,"random",1,"29.9% (27.2,32.6)"
"48",4,1.5,5,"random",1,"36.7% (34,39.4)"
"49",5,1.5,5,"random",1,"27.1% (24.4,29.9)"
"50",7,1.5,5,"random",1,"16.6% (13.8,19.4)"
"51",10,1.5,5,"random",1,"4.2% (1.3,7.1)"
"52",15,1.5,5,"random",1,"9% (6.1,11.9)"
"53",20,1.5,5,"random",1,"5.5% (2.6,8.4)"
"54",25,1.5,5,"random",1,"0% (0,2.9)"
"55",30,1.5,5,"random",1,"13.1% (10.2,15.9)"
"56",1,1.5,1,"random",0.8,"92.1% (89.8,94.4)"
"57",2,1.5,1,"random",0.8,"85.2% (82.9,87.6)"
"58",3,1.5,1,"random",0.8,"70.3% (67.9,72.8)"
"59",4,1.5,1,"random",0.8,"74.4% (71.9,76.8)"
"60",5,1.5,1,"random",0.8,"60.9% (58.4,63.5)"
"61",7,1.5,1,"random",0.8,"38.2% (35.4,40.9)"
"62",10,1.5,1,"random",0.8,"22.6% (19.7,25.5)"
"63",15,1.5,1,"random",0.8,"21.4% (18.5,24.4)"
"64",20,1.5,1,"random",0.8,"11.9% (8.8,14.9)"
"65",25,1.5,1,"random",0.8,"0.2% (0,3.4)"
"66",30,1.5,1,"random",0.8,"13.5% (10.5,16.5)"
"67",1,1.5,0,"perfect",1,"99.8% (97.7,101.9)"
"68",2,1.5,0,"perfect",1,"98.6% (96.5,100.7)"
"69",3,1.5,0,"perfect",1,"96.8% (94.7,98.9)"
"70",4,1.5,0,"perfect",1,"96.8% (94.7,98.9)"
"71",5,1.5,0,"perfect",1,"90.2% (88,92.3)"
"72",7,1.5,0,"perfect",1,"83.9% (81.7,86.1)"
"73",10,1.5,0,"perfect",1,"82.7% (80.5,84.9)"
"74",15,1.5,0,"perfect",1,"66.2% (63.8,68.5)"
"75",20,1.5,0,"perfect",1,"63.2% (60.8,65.6)"
"76",25,1.5,0,"perfect",1,"54.3% (51.9,56.7)"
"77",30,1.5,0,"perfect",1,"44.5% (41.9,47)"
